,0
193,"Count of Lerín (Spanish: Conde de Lerín) is a hereditary title in the Peerage of Spain accompanied by the dignity of Grandee and of Constable of Navarre, granted in 1424 by Charles III to Luis de Beaumont, grandchild of Louis of Évreux and a great-grandchild of Joan III of Navarre."
194,
195,"Bandikui Junction railway station is a major railway station in Dausa district, Rajasthan. Its code is BKI. It serves Bandikui city. The station consists of six platforms. The platforms are well sheltered. It has many facilities including water and sanitation.Station is a major railway station at the junction of Agra–Jaipur and Delhi–Jaipur railway lines in Dausa district of Rajasthan. It is one of the earliest railway stations in northern India and also was the destination of steam locomotives. The first train in Rajasthan ran from Bandikui Junction to Agra Fort, started in April 1874 by the colonial government in India."
196,"Victor Alexandrovich Kolyvagin (Russian: Виктор Александрович Колывагин) is a Russian mathematician who wrote a series of papers on Euler systems, leading to breakthroughs on the Birch and Swinnerton-Dyer conjecture, and Iwasawa's conjecture for cyclotomic fields. His work also influenced Andrew Wiles's work on Fermat's Last Theorem.

"
197,Peter Bartalský (born 27 January 1978) is a Slovak football goalkeeper who currently plays for the Prague Championship club SK Třeboradice and former manager of Czech club Sparta Prague (women).Bartalský joined Bohemians Prague in 2015.
198,"Caroline Louise Josephine Wells (August 1856 – 17 March 1939) was the first professionally qualified female dentist in Ontario, Canada. She was also the first person to provide dental services in mental hospitals in Ontario, and towards the end of her career worked exclusively in these institutions."
199,"George David ""Zambo"" Zamka (born 1962) is a former NASA astronaut and United States Marine Corps pilot with over 3500 flight hours in more than 30 different aircraft. Zamka piloted the Space Shuttle Discovery in its October 2007 mission to the International Space Station and served as the commander of mission STS-130 in February 2010."
200,"Change Britain was a pressure group in the United Kingdom set up in 2016 by leaders of the Vote Leave campaign following the 2016 Referendum, in which 51.9% of participating voters voted in favour of leaving the European Union."
201,"James Lapslie (1750-1824) was Scottish minister and local historian serving Campsie. He played a role in the trial of Thomas Muir of Huntershill in 1793. Kay drew him and dubbed him the ""Pension Hunter"" at the trial.

"
202,"Cylinder head porting refers to the process of modifying the intake and exhaust ports of an internal combustion engine to improve their air flow. Cylinder heads, as manufactured, are usually suboptimal for racing applications due to being designed for maximum durability. Ports can be modified for maximum power, minimum fuel consumption, or a combination of the two, and the power delivery characteristics can be changed to suit a particular application."
203,"Brian Joseph Chesky (born August 29, 1981) is an American businessman and industrial designer. He is the co-founder and CEO of the peer-to-peer lodging service Airbnb. Chesky was named one of Time's ""100 Most Influential People of 2015""."
204,"Sir Leslie Geoffrey Hampton (born 1952), best known as Sir Geoff Hampton, is a British head teacher who gained notability in March 1998 when he received a knighthood in recognition for his achievements as head teacher of Northicote School in Wolverhampton, West Midlands. Within five years, he had transformed the fortunes of the first school in Britain which had been deemed by OFSTED inspectors as ""failing"".Hampton trained at King Alfred's College in Winchester, Hampshire, and his first teaching post was at Pensnett School in Brierley Hill, West Midlands.
He has since departed from the Northicote School and is now a Professor at the University of Wolverhampton."
205,"The Temple of Marcus Aurelius was a temple in Rome dedicated to the deified Roman emperor Marcus Aurelius by his son Commodus.  The temple has no surviving archaeological remains, but was probably sited just to the west of the column of Marcus Aurelius, where now stands the Palazzo Wedekind on Piazza Colonna.  A porticus probably surrounded both the temple and the column."
206,"Levi Rigters (born July 12, 1995) is a Dutch kickboxer currently signed with Glory, where he competes in the heavyweight division. He is a former Enfusion Heavyweight Champion and 2020 Glory 76 Heavyweight Tournament winner.He is ranked as the tenth best heavyweight by Combat Press as of September 2022, and seventh best by Beyond Kick as of October 2022."
207,"Tang King Shing  (traditional Chinese: 鄧竟成; simplified Chinese: 邓竟成; pinyin: Dèng Jìngchéng) was the Commissioner of the Hong Kong Police force until 11 January 2011.
Tang has been appointed as Chairman of the Country and Marine Parks Board for the period 1 September 2013 to 31 August 2015."
208,"Talgje (or Sør-Talgje) is a populated island in the eastern part of Stavanger municipality in Rogaland county, Norway. The 4.1-square-kilometre (1.6 sq mi) island is located in the Talgjefjorden and Brimsefjorden, both arms off of the main Boknafjorden in a large archipelago of islands northeast of the city of Stavanger. It is surrounded by islands: Brimse to the south, Rennesøy to the west, Finnøy to the north, and Fogn to the northeast.  The island has a lot of agricultural uses, especially in growing tomatoes.The island has a long history.  The farm that today is known as Gard was once the seat of major clans that controlled the western part of Norway.  Gaute Erlingson was a nobleman from the 1200s who lived here. Talgje Church dating from around the year 1100 is located here.The Talgjefjord Tunnel connects the island to the larger island of Rennesøy which in turn is connected to the mainland through a series of tunnels and bridges. There are also ferries that run from eastern Talgje to the island of Fogn and to the village of Tau on the mainland."
209,"Parabacteroides chongii  is a Gram-negative,  obligate anaerobic, non-spore-forming, rod-shaped and non-motile bacterium from the genus of Parabacteroides which has been isolated from blood of a person who suffered from peritonitis."
210,"In Earth science, ductility refers to the capacity of a rock to deform to large strains without macroscopic fracturing. Such behavior may occur in unlithified or poorly lithified sediments, in weak materials such as halite or at greater depths in all rock types where higher temperatures promote crystal plasticity and higher confining pressures suppress brittle fracture. In addition, when a material is behaving ductilely, it exhibits a linear stress vs strain relationship past the elastic limit.Ductile deformation is typically characterized by diffuse deformation (i.e. lacking a discrete fault plane) and on a stress-strain plot is accompanied by steady state sliding at failure, compared to the sharp stress drop observed in experiments during brittle failure."
